uid,artifact_traceability_status,artifact_name,artifact_path,artifact_type,relationship_explanation
GHOST-MEM-REC-ROOT,SYSTEM_WIDE,,,,"The UID governs a cross-cutting memory-management boundary spanning recording, files, ingestion, retrieval, compression, synthesis, SuperPrompt handoff, configuration JSON, and/or sibling requirement ownership, so no single Python file owns the full normative scope."
GHOST-MEM-REC-PRODUCT-NAME,SYSTEM_WIDE,,,,"The UID governs a cross-cutting memory-management boundary spanning recording, files, ingestion, retrieval, compression, synthesis, SuperPrompt handoff, configuration JSON, and/or sibling requirement ownership, so no single Python file owns the full normative scope."
GHOST-MEM-REC-MEMORY-PARENT,SYSTEM_WIDE,,,,"The UID governs a cross-cutting memory-management boundary spanning recording, files, ingestion, retrieval, compression, synthesis, SuperPrompt handoff, configuration JSON, and/or sibling requirement ownership, so no single Python file owns the full normative scope."
GHOST-MEM-REC-BOUNDARY,SYSTEM_WIDE,,,,"The UID governs a cross-cutting memory-management boundary spanning recording, files, ingestion, retrieval, compression, synthesis, SuperPrompt handoff, configuration JSON, and/or sibling requirement ownership, so no single Python file owns the full normative scope."
GHOST-MEM-REC-CURRENT-COMPONENTS,SYSTEM_WIDE,,,,"The UID governs a cross-cutting memory-management boundary spanning recording, files, ingestion, retrieval, compression, synthesis, SuperPrompt handoff, configuration JSON, and/or sibling requirement ownership, so no single Python file owns the full normative scope."
GHOST-MEM-REC-DURABLE-FIRST,TRACED,memory_actions.py,ragstream/memory/memory_actions.py,PYTHON,"ragstream/memory/memory_actions.py owns the reusable capture workflow, input/output validation, durable capture call ordering, public/internal logging, and derivative ingestion scheduling failure isolation for this UID."
GHOST-MEM-REC-PATH-RECORD,TRACED,memory_record.py,ragstream/memory/memory_record.py,PYTHON,"ragstream/memory/memory_record.py is the explicit current implementation path named by the requirement; its symbols own the central behavior asserted for this UID, with JSON/configuration evidence treated as subordinate runtime input."
GHOST-MEM-REC-PATH-MANAGER,TRACED,memory_manager.py,ragstream/memory/memory_manager.py,PYTHON,"ragstream/memory/memory_manager.py is the explicit current implementation path named by the requirement; its symbols own the central behavior asserted for this UID, with JSON/configuration evidence treated as subordinate runtime input."
GHOST-MEM-REC-PATH-ACTIONS,TRACED,memory_actions.py,ragstream/memory/memory_actions.py,PYTHON,"ragstream/memory/memory_actions.py is the explicit current implementation path named by the requirement; its symbols own the central behavior asserted for this UID, with JSON/configuration evidence treated as subordinate runtime input."
GHOST-MEM-REC-PATH-FILE-MANAGER,TRACED,memory_file_manager.py,ragstream/memory/storage/memory_file_manager.py,PYTHON,"ragstream/memory/storage/memory_file_manager.py is the explicit current implementation path named by the requirement; its symbols own the central behavior asserted for this UID, with JSON/configuration evidence treated as subordinate runtime input."
