uid,artifact_traceability_status,artifact_name,artifact_path,artifact_type,relationship_explanation
GHOST-AWS-ROOT,SYSTEM_WIDE,,,,"“AWS Deployment and Operations Scope” defines deployment-wide scope, evidence, naming, or current/future boundaries across repository, EC2, Docker, nginx, AWS services, and local operations documentation; no one Python file owns the complete UID."
GHOST-AWS-PRODUCT-NAME,SYSTEM_WIDE,,,,"“Product and Legacy Deployment Naming” defines deployment-wide scope, evidence, naming, or current/future boundaries across repository, EC2, Docker, nginx, AWS services, and local operations documentation; no one Python file owns the complete UID."
GHOST-AWS-CURRENT-BASELINE,SYSTEM_WIDE,,,,"“Current Verified Deployment Baseline” defines deployment-wide scope, evidence, naming, or current/future boundaries across repository, EC2, Docker, nginx, AWS services, and local operations documentation; no one Python file owns the complete UID."
GHOST-AWS-SOURCE-EVIDENCE,SYSTEM_WIDE,,,,"“Deployment Evidence Boundary” defines deployment-wide scope, evidence, naming, or current/future boundaries across repository, EC2, Docker, nginx, AWS services, and local operations documentation; no one Python file owns the complete UID."
GHOST-AWS-PRIVATE-PROFILE,SYSTEM_WIDE,,,,"“Private Deployment Profile” defines deployment-wide scope, evidence, naming, or current/future boundaries across repository, EC2, Docker, nginx, AWS services, and local operations documentation; no one Python file owns the complete UID."
GHOST-AWS-NO-APP-OWNERSHIP,SYSTEM_WIDE,,,,"“Application and Interface Ownership Boundary” defines deployment-wide scope, evidence, naming, or current/future boundaries across repository, EC2, Docker, nginx, AWS services, and local operations documentation; no one Python file owns the complete UID."
GHOST-AWS-PUBLIC-FLOW,SYSTEM_WIDE,,,,"“Public Request Flow” spans nginx site configuration, Certbot-managed TLS, EC2 security-group rules, Docker host bindings, and AWS networking; the full ingress/security behavior is not owned by any Python file."
GHOST-AWS-EC2-HOST,SYSTEM_WIDE,,,,"“EC2 Runtime Host” affects multiple AWS and repository artifacts under parent GHOST-AWS-PUBLIC-FLOW; a single Python mapping would conceal essential non-Python owners, so the UID is system-wide."
GHOST-AWS-INSTANCE-ROLE,SYSTEM_WIDE,,,,"“EC2 Instance Role” spans SSM Parameter Store, IAM roles/policies, GitHub Secrets, EC2 environment injection, repository/image content, and logs; the security contract has no single Python implementation owner."
GHOST-AWS-DNS,SYSTEM_WIDE,,,,"“Route53 DNS Resolution” spans the Route53 record, EC2 IMDSv2 lookup and UPSERT logic in /usr/local/bin/ragstream-start, DNS propagation, and the public hostname; these are independent operational/AWS artifacts with no Python owner."
GHOST-AWS-DNS-UPDATE,SYSTEM_WIDE,,,,"“Automatic DNS Update” spans the Route53 record, EC2 IMDSv2 lookup and UPSERT logic in /usr/local/bin/ragstream-start, DNS propagation, and the public hostname; these are independent operational/AWS artifacts with no Python owner."
GHOST-AWS-PUBLIC-ENDPOINT,SYSTEM_WIDE,,,,"“Current Public HTTPS Endpoint” spans the Route53 record, EC2 IMDSv2 lookup and UPSERT logic in /usr/local/bin/ragstream-start, DNS propagation, and the public hostname; these are independent operational/AWS artifacts with no Python owner."
GHOST-AWS-NGINX-ENTRY,SYSTEM_WIDE,,,,"“nginx Public Entry Point” spans nginx site configuration, Certbot-managed TLS, EC2 security-group rules, Docker host bindings, and AWS networking; the full ingress/security behavior is not owned by any Python file."
GHOST-AWS-TLS,SYSTEM_WIDE,,,,"“TLS Termination” spans nginx site configuration, Certbot-managed TLS, EC2 security-group rules, Docker host bindings, and AWS networking; the full ingress/security behavior is not owned by any Python file."
GHOST-AWS-HTTP-REDIRECT,SYSTEM_WIDE,,,,"“HTTP-to-HTTPS Redirect” spans nginx site configuration, Certbot-managed TLS, EC2 security-group rules, Docker host bindings, and AWS networking; the full ingress/security behavior is not owned by any Python file."
GHOST-AWS-TLS-RENEWAL,SYSTEM_WIDE,,,,"“Certificate Renewal” spans nginx site configuration, Certbot-managed TLS, EC2 security-group rules, Docker host bindings, and AWS networking; the full ingress/security behavior is not owned by any Python file."
GHOST-AWS-SECURITY-GROUP,SYSTEM_WIDE,,,,"“Security Group Boundary” spans nginx site configuration, Certbot-managed TLS, EC2 security-group rules, Docker host bindings, and AWS networking; the full ingress/security behavior is not owned by any Python file."
GHOST-AWS-INTERNAL-PORTS,SYSTEM_WIDE,,,,"“Internal Service Port Model” spans nginx site configuration, Certbot-managed TLS, EC2 security-group rules, Docker host bindings, and AWS networking; the full ingress/security behavior is not owned by any Python file."
GHOST-AWS-STREAMLIT-SERVICE,SYSTEM_WIDE,,,,"“Current Streamlit Service” is realized jointly by Dockerfile, ragstream/app/ui_streamlit.py, ragstream/app/controller.py, /usr/local/bin/ragstream-start, nginx routing, and container state; no single Python file owns the complete deployed-service requirement."
GHOST-AWS-STREAMLIT-PORT,SYSTEM_WIDE,,,,"“Streamlit Local Port” is realized jointly by Dockerfile, ragstream/app/ui_streamlit.py, ragstream/app/controller.py, /usr/local/bin/ragstream-start, nginx routing, and container state; no single Python file owns the complete deployed-service requirement."
GHOST-AWS-STREAMLIT-ROUTE,SYSTEM_WIDE,,,,"“Streamlit Root Route” is realized jointly by Dockerfile, ragstream/app/ui_streamlit.py, ragstream/app/controller.py, /usr/local/bin/ragstream-start, nginx routing, and container state; no single Python file owns the complete deployed-service requirement."
GHOST-AWS-STREAMLIT-SESSION,SYSTEM_WIDE,,,,"“Streamlit Session Ownership” is realized jointly by Dockerfile, ragstream/app/ui_streamlit.py, ragstream/app/controller.py, /usr/local/bin/ragstream-start, nginx routing, and container state; no single Python file owns the complete deployed-service requirement."
GHOST-AWS-STREAMLIT-HEALTH,SYSTEM_WIDE,,,,"“Streamlit Health Verification” is realized jointly by Dockerfile, ragstream/app/ui_streamlit.py, ragstream/app/controller.py, /usr/local/bin/ragstream-start, nginx routing, and container state; no single Python file owns the complete deployed-service requirement."
GHOST-AWS-MCP-SERVICE,IMPLEMENTATION_PENDING,,,,"“Planned MCP Service Process” belongs to the planned MCP deployment. The current baseline has no ragstream/mcp_server implementation, FastMCP process, port-8000 container, nginx /mcp route, MCP authentication, or public protocol verification."
GHOST-AWS-MCP-PORT,IMPLEMENTATION_PENDING,,,,"“MCP Local Port” belongs to the planned MCP deployment. The current baseline has no ragstream/mcp_server implementation, FastMCP process, port-8000 container, nginx /mcp route, MCP authentication, or public protocol verification."
GHOST-AWS-MCP-ENDPOINT,IMPLEMENTATION_PENDING,,,,"“Public MCP Endpoint” belongs to the planned MCP deployment. The current baseline has no ragstream/mcp_server implementation, FastMCP process, port-8000 container, nginx /mcp route, MCP authentication, or public protocol verification."
GHOST-AWS-MCP-NO-NEW-DNS,IMPLEMENTATION_PENDING,,,,"“No New DNS Record for Path Routing” belongs to the planned MCP deployment. The current baseline has no ragstream/mcp_server implementation, FastMCP process, port-8000 container, nginx /mcp route, MCP authentication, or public protocol verification."
GHOST-AWS-MCP-TRANSPORT,IMPLEMENTATION_PENDING,,,,"“Streamable HTTP Transport” belongs to the planned MCP deployment. The current baseline has no ragstream/mcp_server implementation, FastMCP process, port-8000 container, nginx /mcp route, MCP authentication, or public protocol verification."
GHOST-AWS-MCP-ROUTE,IMPLEMENTATION_PENDING,,,,"“nginx MCP Route” belongs to the planned MCP deployment. The current baseline has no ragstream/mcp_server implementation, FastMCP process, port-8000 container, nginx /mcp route, MCP authentication, or public protocol verification."
GHOST-AWS-MCP-PATH-INTEGRITY,IMPLEMENTATION_PENDING,,,,"“MCP Path Integrity” belongs to the planned MCP deployment. The current baseline has no ragstream/mcp_server implementation, FastMCP process, port-8000 container, nginx /mcp route, MCP authentication, or public protocol verification."
GHOST-AWS-MCP-ORIGIN,IMPLEMENTATION_PENDING,,,,"“MCP Origin Validation” belongs to the planned MCP deployment. The current baseline has no ragstream/mcp_server implementation, FastMCP process, port-8000 container, nginx /mcp route, MCP authentication, or public protocol verification."
GHOST-AWS-MCP-AUTH,IMPLEMENTATION_PENDING,,,,"“Protected Remote MCP Access” belongs to the planned MCP deployment. The current baseline has no ragstream/mcp_server implementation, FastMCP process, port-8000 container, nginx /mcp route, MCP authentication, or public protocol verification."
GHOST-AWS-MCP-TIMEOUTS,IMPLEMENTATION_PENDING,,,,"“MCP Proxy Limits and Timeouts” belongs to the planned MCP deployment. The current baseline has no ragstream/mcp_server implementation, FastMCP process, port-8000 container, nginx /mcp route, MCP authentication, or public protocol verification."
GHOST-AWS-MCP-STATELESS-V1,IMPLEMENTATION_PENDING,,,,"“Initial MCP Stateless Runtime” belongs to the planned MCP deployment. The current baseline has no ragstream/mcp_server implementation, FastMCP process, port-8000 container, nginx /mcp route, MCP authentication, or public protocol verification."
