uid,artifact_traceability_status,artifact_name,artifact_path,artifact_type,relationship_explanation
GHOST-DOC-RETRIEVE-ROOT,TRACED,retriever.py,ragstream/retrieval/retriever.py,PYTHON,"ragstream/retrieval/retriever.py owns document retrieval orchestration, query projection consumption, dense-first execution, optional SPLADE invocation/bypass, hard embedding floor, hydration, metadata projection, diagnostics, and retrieval-stage SuperPrompt write-back."
GHOST-DOC-RETRIEVE-PRODUCT-NAME,TRACED,retriever.py,ragstream/retrieval/retriever.py,PYTHON,"ragstream/retrieval/retriever.py owns document retrieval orchestration, query projection consumption, dense-first execution, optional SPLADE invocation/bypass, hard embedding floor, hydration, metadata projection, diagnostics, and retrieval-stage SuperPrompt write-back."
GHOST-DOC-RETRIEVE-KM-PARENT,TRACED,retriever.py,ragstream/retrieval/retriever.py,PYTHON,"ragstream/retrieval/retriever.py owns document retrieval orchestration, query projection consumption, dense-first execution, optional SPLADE invocation/bypass, hard embedding floor, hydration, metadata projection, diagnostics, and retrieval-stage SuperPrompt write-back."
GHOST-DOC-RETRIEVE-BOUNDARY,TRACED,retriever.py,ragstream/retrieval/retriever.py,PYTHON,"ragstream/retrieval/retriever.py owns document retrieval orchestration, query projection consumption, dense-first execution, optional SPLADE invocation/bypass, hard embedding floor, hydration, metadata projection, diagnostics, and retrieval-stage SuperPrompt write-back."
GHOST-DOC-RETRIEVE-COMPONENTS,TRACED,retriever.py,ragstream/retrieval/retriever.py,PYTHON,"ragstream/retrieval/retriever.py owns document retrieval orchestration, query projection consumption, dense-first execution, optional SPLADE invocation/bypass, hard embedding floor, hydration, metadata projection, diagnostics, and retrieval-stage SuperPrompt write-back."
GHOST-DOC-RETRIEVE-SP,TRACED,retriever.py,ragstream/retrieval/retriever.py,PYTHON,"ragstream/retrieval/retriever.py owns document retrieval orchestration, query projection consumption, dense-first execution, optional SPLADE invocation/bypass, hard embedding floor, hydration, metadata projection, diagnostics, and retrieval-stage SuperPrompt write-back."
GHOST-DOC-RETRIEVE-QUERY-PROJECTOR,TRACED,retriever.py,ragstream/retrieval/retriever.py,PYTHON,"ragstream/retrieval/retriever.py owns document retrieval orchestration, query projection consumption, dense-first execution, optional SPLADE invocation/bypass, hard embedding floor, hydration, metadata projection, diagnostics, and retrieval-stage SuperPrompt write-back."
GHOST-DOC-RETRIEVE-ROUTING,TRACED,retriever.py,ragstream/retrieval/retriever.py,PYTHON,"ragstream/retrieval/retriever.py owns document retrieval orchestration, query projection consumption, dense-first execution, optional SPLADE invocation/bypass, hard embedding floor, hydration, metadata projection, diagnostics, and retrieval-stage SuperPrompt write-back."
GHOST-DOC-RETRIEVE-EMPTY-SUPPRESSION,TRACED,retriever.py,ragstream/retrieval/retriever.py,PYTHON,"ragstream/retrieval/retriever.py owns document retrieval orchestration, query projection consumption, dense-first execution, optional SPLADE invocation/bypass, hard embedding floor, hydration, metadata projection, diagnostics, and retrieval-stage SuperPrompt write-back."
GHOST-DOC-RETRIEVE-PROJECT,TRACED,retriever.py,ragstream/retrieval/retriever.py,PYTHON,"ragstream/retrieval/retriever.py owns document retrieval orchestration, query projection consumption, dense-first execution, optional SPLADE invocation/bypass, hard embedding floor, hydration, metadata projection, diagnostics, and retrieval-stage SuperPrompt write-back."
GHOST-DOC-RETRIEVE-TOPK,TRACED,retriever.py,ragstream/retrieval/retriever.py,PYTHON,"ragstream/retrieval/retriever.py owns document retrieval orchestration, query projection consumption, dense-first execution, optional SPLADE invocation/bypass, hard embedding floor, hydration, metadata projection, diagnostics, and retrieval-stage SuperPrompt write-back."
GHOST-DOC-RETRIEVE-NO-MEMORY-QUERY,TRACED,smart_query_splitter.py,ragstream/retrieval/smart_query_splitter.py,PYTHON,ragstream/retrieval/smart_query_splitter.py owns retrieval query piece generation using the shared Chunker and preserving deterministic piece order.
GHOST-DOC-RETRIEVE-QUERY-SPLIT,TRACED,smart_query_splitter.py,ragstream/retrieval/smart_query_splitter.py,PYTHON,ragstream/retrieval/smart_query_splitter.py owns retrieval query piece generation using the shared Chunker and preserving deterministic piece order.
GHOST-DOC-RETRIEVE-QUERY-TRIM,TRACED,smart_query_splitter.py,ragstream/retrieval/smart_query_splitter.py,PYTHON,ragstream/retrieval/smart_query_splitter.py owns retrieval query piece generation using the shared Chunker and preserving deterministic piece order.
GHOST-DOC-RETRIEVE-QUERY-CHUNKER,TRACED,smart_query_splitter.py,ragstream/retrieval/smart_query_splitter.py,PYTHON,ragstream/retrieval/smart_query_splitter.py owns retrieval query piece generation using the shared Chunker and preserving deterministic piece order.
GHOST-DOC-RETRIEVE-QUERY-SIZE,TRACED,smart_query_splitter.py,ragstream/retrieval/smart_query_splitter.py,PYTHON,ragstream/retrieval/smart_query_splitter.py owns retrieval query piece generation using the shared Chunker and preserving deterministic piece order.
GHOST-DOC-RETRIEVE-QUERY-BASELINE,TRACED,smart_query_splitter.py,ragstream/retrieval/smart_query_splitter.py,PYTHON,ragstream/retrieval/smart_query_splitter.py owns retrieval query piece generation using the shared Chunker and preserving deterministic piece order.
GHOST-DOC-RETRIEVE-QUERY-ORDER,TRACED,smart_query_splitter.py,ragstream/retrieval/smart_query_splitter.py,PYTHON,ragstream/retrieval/smart_query_splitter.py owns retrieval query piece generation using the shared Chunker and preserving deterministic piece order.
GHOST-DOC-RETRIEVE-NO-SMART-CLAIM,TRACED,retriever.py,ragstream/retrieval/retriever.py,PYTHON,"ragstream/retrieval/retriever.py owns document retrieval orchestration, query projection consumption, dense-first execution, optional SPLADE invocation/bypass, hard embedding floor, hydration, metadata projection, diagnostics, and retrieval-stage SuperPrompt write-back."
GHOST-DOC-RETRIEVE-DENSE-FIRST,TRACED,retriever_emb.py,ragstream/retrieval/retriever_emb.py,PYTHON,"ragstream/retrieval/retriever_emb.py owns dense store validation, query embedding, cosine scoring, p-norm aggregation, deterministic dense sorting, and dense cutoff behavior."
GHOST-DOC-RETRIEVE-DENSE-NEUTRAL,TRACED,retriever_emb.py,ragstream/retrieval/retriever_emb.py,PYTHON,"ragstream/retrieval/retriever_emb.py owns dense store validation, query embedding, cosine scoring, p-norm aggregation, deterministic dense sorting, and dense cutoff behavior."
GHOST-DOC-RETRIEVE-DENSE-STORE,TRACED,retriever_emb.py,ragstream/retrieval/retriever_emb.py,PYTHON,"ragstream/retrieval/retriever_emb.py owns dense store validation, query embedding, cosine scoring, p-norm aggregation, deterministic dense sorting, and dense cutoff behavior."
GHOST-DOC-RETRIEVE-DENSE-EMPTY-QUERY,TRACED,retriever_emb.py,ragstream/retrieval/retriever_emb.py,PYTHON,"ragstream/retrieval/retriever_emb.py owns dense store validation, query embedding, cosine scoring, p-norm aggregation, deterministic dense sorting, and dense cutoff behavior."
GHOST-DOC-RETRIEVE-DENSE-READ,TRACED,retriever_emb.py,ragstream/retrieval/retriever_emb.py,PYTHON,"ragstream/retrieval/retriever_emb.py owns dense store validation, query embedding, cosine scoring, p-norm aggregation, deterministic dense sorting, and dense cutoff behavior."
GHOST-DOC-RETRIEVE-DENSE-LENGTH,TRACED,retriever_emb.py,ragstream/retrieval/retriever_emb.py,PYTHON,"ragstream/retrieval/retriever_emb.py owns dense store validation, query embedding, cosine scoring, p-norm aggregation, deterministic dense sorting, and dense cutoff behavior."
GHOST-DOC-RETRIEVE-DENSE-QUERY-EMBED,TRACED,retriever_emb.py,ragstream/retrieval/retriever_emb.py,PYTHON,"ragstream/retrieval/retriever_emb.py owns dense store validation, query embedding, cosine scoring, p-norm aggregation, deterministic dense sorting, and dense cutoff behavior."
GHOST-DOC-RETRIEVE-DENSE-DIM,TRACED,retriever_emb.py,ragstream/retrieval/retriever_emb.py,PYTHON,"ragstream/retrieval/retriever_emb.py owns dense store validation, query embedding, cosine scoring, p-norm aggregation, deterministic dense sorting, and dense cutoff behavior."
GHOST-DOC-RETRIEVE-COSINE,TRACED,retriever_emb.py,ragstream/retrieval/retriever_emb.py,PYTHON,"ragstream/retrieval/retriever_emb.py owns dense store validation, query embedding, cosine scoring, p-norm aggregation, deterministic dense sorting, and dense cutoff behavior."
GHOST-DOC-RETRIEVE-PNORM,TRACED,retriever_emb.py,ragstream/retrieval/retriever_emb.py,PYTHON,"ragstream/retrieval/retriever_emb.py owns dense store validation, query embedding, cosine scoring, p-norm aggregation, deterministic dense sorting, and dense cutoff behavior."
GHOST-DOC-RETRIEVE-PNORM-P,TRACED,retriever_emb.py,ragstream/retrieval/retriever_emb.py,PYTHON,"ragstream/retrieval/retriever_emb.py owns dense store validation, query embedding, cosine scoring, p-norm aggregation, deterministic dense sorting, and dense cutoff behavior."
GHOST-DOC-RETRIEVE-DENSE-SORT,TRACED,retriever_emb.py,ragstream/retrieval/retriever_emb.py,PYTHON,"ragstream/retrieval/retriever_emb.py owns dense store validation, query embedding, cosine scoring, p-norm aggregation, deterministic dense sorting, and dense cutoff behavior."
GHOST-DOC-RETRIEVE-DENSE-CUTOFF,TRACED,retriever_emb.py,ragstream/retrieval/retriever_emb.py,PYTHON,"ragstream/retrieval/retriever_emb.py owns dense store validation, query embedding, cosine scoring, p-norm aggregation, deterministic dense sorting, and dense cutoff behavior."
GHOST-DOC-RETRIEVE-EMB-FLOOR,TRACED,retriever.py,ragstream/retrieval/retriever.py,PYTHON,"ragstream/retrieval/retriever.py owns document retrieval orchestration, query projection consumption, dense-first execution, optional SPLADE invocation/bypass, hard embedding floor, hydration, metadata projection, diagnostics, and retrieval-stage SuperPrompt write-back."
GHOST-DOC-RETRIEVE-EMB-FLOOR-ZERO,TRACED,retriever.py,ragstream/retrieval/retriever.py,PYTHON,"ragstream/retrieval/retriever.py owns document retrieval orchestration, query projection consumption, dense-first execution, optional SPLADE invocation/bypass, hard embedding floor, hydration, metadata projection, diagnostics, and retrieval-stage SuperPrompt write-back."
GHOST-DOC-RETRIEVE-EMB-FLOOR-SOURCE,TRACED,retriever.py,ragstream/retrieval/retriever.py,PYTHON,"ragstream/retrieval/retriever.py owns document retrieval orchestration, query projection consumption, dense-first execution, optional SPLADE invocation/bypass, hard embedding floor, hydration, metadata projection, diagnostics, and retrieval-stage SuperPrompt write-back."
