uid,artifact_traceability_status,artifact_name,artifact_path,artifact_type,relationship_explanation
GHOST-KM-ROOT,SYSTEM_WIDE,,,,"GHOST-KM-ROOT is a parent Knowledge Management capability/boundary spanning ingestion_manager.py, retriever.py, reranker.py, a3_nli_gate.py, a4_condenser.py, a4_det_processing.py, controller.py, SuperPrompt, and runtime_config.json; no single Python file owns the complete central scope."
GHOST-KM-PRODUCT-NAME,SYSTEM_WIDE,,,,"GHOST-KM-PRODUCT-NAME is a parent Knowledge Management capability/boundary spanning ingestion_manager.py, retriever.py, reranker.py, a3_nli_gate.py, a4_condenser.py, a4_det_processing.py, controller.py, SuperPrompt, and runtime_config.json; no single Python file owns the complete central scope."
GHOST-KM-CHILD-DOCUMENTS,SYSTEM_WIDE,,,,"GHOST-KM-CHILD-DOCUMENTS is a parent Knowledge Management capability/boundary spanning ingestion_manager.py, retriever.py, reranker.py, a3_nli_gate.py, a4_condenser.py, a4_det_processing.py, controller.py, SuperPrompt, and runtime_config.json; no single Python file owns the complete central scope."
GHOST-KM-CURRENT-CAPABILITIES,SYSTEM_WIDE,,,,"GHOST-KM-CURRENT-CAPABILITIES is a parent Knowledge Management capability/boundary spanning ingestion_manager.py, retriever.py, reranker.py, a3_nli_gate.py, a4_condenser.py, a4_det_processing.py, controller.py, SuperPrompt, and runtime_config.json; no single Python file owns the complete central scope."
GHOST-KM-REQUIREMENT-NATURE,SYSTEM_WIDE,,,,"GHOST-KM-REQUIREMENT-NATURE is a parent Knowledge Management capability/boundary spanning ingestion_manager.py, retriever.py, reranker.py, a3_nli_gate.py, a4_condenser.py, a4_det_processing.py, controller.py, SuperPrompt, and runtime_config.json; no single Python file owns the complete central scope."
GHOST-KM-ARCHITECTURE,SYSTEM_WIDE,,,,"GHOST-KM-ARCHITECTURE is a parent Knowledge Management capability/boundary spanning ingestion_manager.py, retriever.py, reranker.py, a3_nli_gate.py, a4_condenser.py, a4_det_processing.py, controller.py, SuperPrompt, and runtime_config.json; no single Python file owns the complete central scope."
GHOST-KM-INTERNAL-STAGES,SYSTEM_WIDE,,,,"GHOST-KM-INTERNAL-STAGES is a parent Knowledge Management capability/boundary spanning ingestion_manager.py, retriever.py, reranker.py, a3_nli_gate.py, a4_condenser.py, a4_det_processing.py, controller.py, SuperPrompt, and runtime_config.json; no single Python file owns the complete central scope."
GHOST-KM-OLD-PIPELINE-BOUNDARY,SYSTEM_WIDE,,,,"GHOST-KM-OLD-PIPELINE-BOUNDARY is a parent Knowledge Management capability/boundary spanning ingestion_manager.py, retriever.py, reranker.py, a3_nli_gate.py, a4_condenser.py, a4_det_processing.py, controller.py, SuperPrompt, and runtime_config.json; no single Python file owns the complete central scope."
GHOST-KM-PREPROCESS-DEPENDENCY,SYSTEM_WIDE,,,,"GHOST-KM-PREPROCESS-DEPENDENCY is a parent Knowledge Management capability/boundary spanning ingestion_manager.py, retriever.py, reranker.py, a3_nli_gate.py, a4_condenser.py, a4_det_processing.py, controller.py, SuperPrompt, and runtime_config.json; no single Python file owns the complete central scope."
GHOST-KM-MEMORY-PEER,SYSTEM_WIDE,,,,"GHOST-KM-MEMORY-PEER is a parent Knowledge Management capability/boundary spanning ingestion_manager.py, retriever.py, reranker.py, a3_nli_gate.py, a4_condenser.py, a4_det_processing.py, controller.py, SuperPrompt, and runtime_config.json; no single Python file owns the complete central scope."
GHOST-KM-NO-MEMORY-MUTATION,SYSTEM_WIDE,,,,"GHOST-KM-NO-MEMORY-MUTATION is a parent Knowledge Management capability/boundary spanning ingestion_manager.py, retriever.py, reranker.py, a3_nli_gate.py, a4_condenser.py, a4_det_processing.py, controller.py, SuperPrompt, and runtime_config.json; no single Python file owns the complete central scope."
GHOST-KM-PROMPT-COMPOSITION-BOUNDARY,SYSTEM_WIDE,,,,"GHOST-KM-PROMPT-COMPOSITION-BOUNDARY is a parent Knowledge Management capability/boundary spanning ingestion_manager.py, retriever.py, reranker.py, a3_nli_gate.py, a4_condenser.py, a4_det_processing.py, controller.py, SuperPrompt, and runtime_config.json; no single Python file owns the complete central scope."
GHOST-KM-AGENT-STACK-BOUNDARY,SYSTEM_WIDE,,,,"GHOST-KM-AGENT-STACK-BOUNDARY is a parent Knowledge Management capability/boundary spanning ingestion_manager.py, retriever.py, reranker.py, a3_nli_gate.py, a4_condenser.py, a4_det_processing.py, controller.py, SuperPrompt, and runtime_config.json; no single Python file owns the complete central scope."
