uid,artifact_traceability_status,artifact_name,artifact_path,artifact_type,relationship_explanation
GHOST-RUN-ROOT,SYSTEM_WIDE,,,,"“Runtime Platform and Operations Scope” defines the runtime-wide scope or governance boundary across Streamlit, AppController, SuperPrompt, configuration, persistence, deployment, and planned interfaces; no one Python file owns that complete normative scope."
GHOST-RUN-PRODUCT-NAME,SYSTEM_WIDE,,,,"“Product and Package Naming Boundary” defines the runtime-wide scope or governance boundary across Streamlit, AppController, SuperPrompt, configuration, persistence, deployment, and planned interfaces; no one Python file owns that complete normative scope."
GHOST-RUN-CAPABILITY-MODEL,SYSTEM_WIDE,,,,"“Runtime Capability Model” defines the runtime-wide scope or governance boundary across Streamlit, AppController, SuperPrompt, configuration, persistence, deployment, and planned interfaces; no one Python file owns that complete normative scope."
GHOST-RUN-CURRENT-SCOPE,SYSTEM_WIDE,,,,"“Current and Planned Runtime Scope” defines the runtime-wide scope or governance boundary across Streamlit, AppController, SuperPrompt, configuration, persistence, deployment, and planned interfaces; no one Python file owns that complete normative scope."
GHOST-RUN-CORE-BOUNDARY,SYSTEM_WIDE,,,,"“Shared GHOST Core Boundary” governs the relationship among ragstream/app/controller.py, ragstream/preprocessing/preprocessing.py, ragstream/agents/a2_promptshaper.py, SuperPrompt components, and interface adapters; multiple independent files own essential parts, so the UID is system-wide."
GHOST-RUN-ADAPTER-BOUNDARY,SYSTEM_WIDE,,,,"“Interface Adapter Boundary” governs the relationship among ragstream/app/controller.py, ragstream/preprocessing/preprocessing.py, ragstream/agents/a2_promptshaper.py, SuperPrompt components, and interface adapters; multiple independent files own essential parts, so the UID is system-wide."
GHOST-RUN-SHARED-CONTROLLER,IMPLEMENTATION_PENDING,,,,"“Shared Controller Invocation” cannot be fully verified until the MCP implementation exists. Current preprocessing and A2 ownership is centralized in ragstream/app/controller.py and subordinate core modules, but there is no second interface implementation to audit for reuse versus duplication."
GHOST-RUN-STREAMLIT-BOUNDARY,SYSTEM_WIDE,,,,"“Current Streamlit Runtime Boundary” spans ragstream/app/ui_streamlit.py session_state creation, ragstream/app/controller.py construction, SuperPrompt instances, and deployed process behavior; ui_streamlit.py is central but the complete runtime boundary also includes controller/state/deployment concerns, so no one Python file owns the full UID."
GHOST-RUN-MCP-BOUNDARY,IMPLEMENTATION_PENDING,,,,"“Planned MCP Runtime Boundary” depends on the planned MCP adapter. The repository currently has Streamlit session handling in ragstream/app/ui_streamlit.py and shared stage methods in ragstream/app/controller.py, but no MCP server/controller path exists to satisfy this UID."
GHOST-RUN-MCP-OWNERSHIP,IMPLEMENTATION_PENDING,,,,"“MCP Requirement Ownership Boundary” depends on the planned MCP adapter. The repository currently has Streamlit session handling in ragstream/app/ui_streamlit.py and shared stage methods in ragstream/app/controller.py, but no MCP server/controller path exists to satisfy this UID."
GHOST-RUN-FASTAPI-FUTURE,IMPLEMENTATION_PENDING,,,,"“Future FastAPI Runtime Boundary” is explicitly future. No FastAPI backend, React session API, shared session store, or cross-interface session manager currently implements the required behavior."
GHOST-RUN-NO-CORE-DUPLICATION,IMPLEMENTATION_PENDING,,,,“No Interface-Specific Core Duplication” describes planned cross-interface runtime behavior for which no complete current implementation artifact exists.
GHOST-RUN-PROCESS-ISOLATION,SYSTEM_WIDE,,,,"“Runtime Process Isolation” is an operational service requirement spanning Python entry points, Docker/container configuration, service-manager behavior, logs, and deployment state; no single Python file implements the complete lifecycle scope."
GHOST-RUN-SESSION-OWNERSHIP,SYSTEM_WIDE,,,,"“Explicit Session and Request Ownership” affects multiple runtime artifacts identified by its parent GHOST-RUN-ROOT; selecting one Python file would hide other essential owners, so the requirement is system-wide."
GHOST-RUN-RUNTIME-CONFIG,SYSTEM_WIDE,,,,"“Runtime Configuration Source” crosses ragstream/config/runtime_config.json plus loaders in ragstream/app/ui_streamlit.py and ragstream/app/controller.py and deployment-time environment validation; configuration data and loaders are separate artifacts, so there is no single Python owner."
GHOST-RUN-CONFIG-NO-SECRETS,SYSTEM_WIDE,,,,"“No Secrets in Runtime Configuration” crosses ragstream/config/runtime_config.json plus loaders in ragstream/app/ui_streamlit.py and ragstream/app/controller.py and deployment-time environment validation; configuration data and loaders are separate artifacts, so there is no single Python owner."
GHOST-RUN-DATA-ROOTS,SYSTEM_WIDE,,,,"“Canonical Runtime Data Roots” spans data-root creation in ragstream/app/controller.py, document/memory storage modules, Docker bind mounts, and host persistence policy; durable state is owned across application and deployment artifacts rather than one Python file."
GHOST-RUN-DATA-OWNERSHIP,SYSTEM_WIDE,,,,"“Runtime Data Ownership” spans data-root creation in ragstream/app/controller.py, document/memory storage modules, Docker bind mounts, and host persistence policy; durable state is owned across application and deployment artifacts rather than one Python file."
GHOST-RUN-PERSISTENT-EPHEMERAL,SYSTEM_WIDE,,,,"“Persistent and Ephemeral Separation” spans data-root creation in ragstream/app/controller.py, document/memory storage modules, Docker bind mounts, and host persistence policy; durable state is owned across application and deployment artifacts rather than one Python file."
GHOST-RUN-PATH-PARITY,SYSTEM_WIDE,,,,"“Local and Deployed Path Parity” spans data-root creation in ragstream/app/controller.py, document/memory storage modules, Docker bind mounts, and host persistence policy; durable state is owned across application and deployment artifacts rather than one Python file."
GHOST-RUN-STARTUP-VALIDATION,SYSTEM_WIDE,,,,"“Startup Configuration Validation” crosses ragstream/config/runtime_config.json plus loaders in ragstream/app/ui_streamlit.py and ragstream/app/controller.py and deployment-time environment validation; configuration data and loaders are separate artifacts, so there is no single Python owner."
GHOST-RUN-STATE-NO-ACCIDENTAL-SHARING,SYSTEM_WIDE,,,,"“No Accidental Cross-Process State Sharing” spans data-root creation in ragstream/app/controller.py, document/memory storage modules, Docker bind mounts, and host persistence policy; durable state is owned across application and deployment artifacts rather than one Python file."
GHOST-RUN-SERVICE-IDENTITY,SYSTEM_WIDE,,,,"“Explicit Runtime Service Identity” is an operational service requirement spanning Python entry points, Docker/container configuration, service-manager behavior, logs, and deployment state; no single Python file implements the complete lifecycle scope."
GHOST-RUN-SERVICE-STARTUP,SYSTEM_WIDE,,,,"“Deterministic Service Startup” is an operational service requirement spanning Python entry points, Docker/container configuration, service-manager behavior, logs, and deployment state; no single Python file implements the complete lifecycle scope."
GHOST-RUN-READINESS,SYSTEM_WIDE,,,,"“Readiness Before Exposure” is an operational service requirement spanning Python entry points, Docker/container configuration, service-manager behavior, logs, and deployment state; no single Python file implements the complete lifecycle scope."
GHOST-RUN-FAILURE-ISOLATION,SYSTEM_WIDE,,,,"“Interface Failure Isolation” is an operational service requirement spanning Python entry points, Docker/container configuration, service-manager behavior, logs, and deployment state; no single Python file implements the complete lifecycle scope."
GHOST-RUN-RESTART-SAFETY,SYSTEM_WIDE,,,,"“Restart Safety” spans data-root creation in ragstream/app/controller.py, document/memory storage modules, Docker bind mounts, and host persistence policy; durable state is owned across application and deployment artifacts rather than one Python file."
GHOST-RUN-VERSION-VISIBILITY,SYSTEM_WIDE,,,,"“Runtime Version Visibility” is an operational service requirement spanning Python entry points, Docker/container configuration, service-manager behavior, logs, and deployment state; no single Python file implements the complete lifecycle scope."
GHOST-RUN-RESOURCE-BOUNDARY,SYSTEM_WIDE,,,,"“Runtime Resource Boundary” is an operational service requirement spanning Python entry points, Docker/container configuration, service-manager behavior, logs, and deployment state; no single Python file implements the complete lifecycle scope."
GHOST-RUN-OPERATIONAL-LOGGING,SYSTEM_WIDE,,,,"“Operational Logging” spans ragstream/textforge/RagLog.py, callers across the GHOST codebase, container stdout/stderr, systemd, nginx, and sensitivity policy; logging ownership is cross-cutting and cannot be traced to one Python file."
GHOST-RUN-LOG-SENSITIVITY,SYSTEM_WIDE,,,,"“Log Sensitivity Boundary” spans ragstream/textforge/RagLog.py, callers across the GHOST codebase, container stdout/stderr, systemd, nginx, and sensitivity policy; logging ownership is cross-cutting and cannot be traced to one Python file."
GHOST-RUN-SECRETS-EXTERNAL,SYSTEM_WIDE,,,,"“External Secret Storage” governs repository content, runtime configuration, cloud identities, ingress, secret stores, and operational documentation; these controls span Python and non-Python deployment areas and therefore have no single Python owner."
GHOST-RUN-LEAST-PRIVILEGE,SYSTEM_WIDE,,,,"“Least-Privilege Runtime Identity” governs repository content, runtime configuration, cloud identities, ingress, secret stores, and operational documentation; these controls span Python and non-Python deployment areas and therefore have no single Python owner."
GHOST-RUN-PUBLIC-ENTRY,SYSTEM_WIDE,,,,"“Controlled Public Entry Boundary” governs repository content, runtime configuration, cloud identities, ingress, secret stores, and operational documentation; these controls span Python and non-Python deployment areas and therefore have no single Python owner."
GHOST-RUN-PRIVATE-INTERNAL,SYSTEM_WIDE,,,,"“Private Internal Service Boundary” governs repository content, runtime configuration, cloud identities, ingress, secret stores, and operational documentation; these controls span Python and non-Python deployment areas and therefore have no single Python owner."
