uid,artifact_traceability_status,artifact_name,artifact_path,artifact_type,relationship_explanation
GHOST-AGENT-STACK-ROOT,SYSTEM_WIDE,,,,"This UID spans shared Agent Stack behavior across ragstream/orchestration/agent_factory.py, ragstream/orchestration/agent_prompt.py, ragstream/orchestration/agent_prompt_helpers/*.py, ragstream/orchestration/llm_client.py, current consumers under ragstream/agents/, ragstream/preprocessing/, ragstream/memory/, and JSON areas data/agents/** and ragstream/config/**; no single Python file owns the full central scope without hiding independent infrastructure or concrete-agent responsibilities."
GHOST-AGENT-STACK-PRODUCT-NAME,SYSTEM_WIDE,,,,"This UID spans shared Agent Stack behavior across ragstream/orchestration/agent_factory.py, ragstream/orchestration/agent_prompt.py, ragstream/orchestration/agent_prompt_helpers/*.py, ragstream/orchestration/llm_client.py, current consumers under ragstream/agents/, ragstream/preprocessing/, ragstream/memory/, and JSON areas data/agents/** and ragstream/config/**; no single Python file owns the full central scope without hiding independent infrastructure or concrete-agent responsibilities."
GHOST-AGENT-STACK-CURRENT-COMPONENTS,SYSTEM_WIDE,,,,"This UID spans shared Agent Stack behavior across ragstream/orchestration/agent_factory.py, ragstream/orchestration/agent_prompt.py, ragstream/orchestration/agent_prompt_helpers/*.py, ragstream/orchestration/llm_client.py, current consumers under ragstream/agents/, ragstream/preprocessing/, ragstream/memory/, and JSON areas data/agents/** and ragstream/config/**; no single Python file owns the full central scope without hiding independent infrastructure or concrete-agent responsibilities."
GHOST-AGENT-STACK-SEPARATION-OF-CONCERNS,SYSTEM_WIDE,,,,"This UID spans shared Agent Stack behavior across ragstream/orchestration/agent_factory.py, ragstream/orchestration/agent_prompt.py, ragstream/orchestration/agent_prompt_helpers/*.py, ragstream/orchestration/llm_client.py, current consumers under ragstream/agents/, ragstream/preprocessing/, ragstream/memory/, and JSON areas data/agents/** and ragstream/config/**; no single Python file owns the full central scope without hiding independent infrastructure or concrete-agent responsibilities."
GHOST-AGENT-STACK-NEUTRALITY,SYSTEM_WIDE,,,,"This UID spans shared Agent Stack behavior across ragstream/orchestration/agent_factory.py, ragstream/orchestration/agent_prompt.py, ragstream/orchestration/agent_prompt_helpers/*.py, ragstream/orchestration/llm_client.py, current consumers under ragstream/agents/, ragstream/preprocessing/, ragstream/memory/, and JSON areas data/agents/** and ragstream/config/**; no single Python file owns the full central scope without hiding independent infrastructure or concrete-agent responsibilities."
GHOST-AGENT-STACK-STATELESS-RUNS,SYSTEM_WIDE,,,,"This UID spans shared Agent Stack behavior across ragstream/orchestration/agent_factory.py, ragstream/orchestration/agent_prompt.py, ragstream/orchestration/agent_prompt_helpers/*.py, ragstream/orchestration/llm_client.py, current consumers under ragstream/agents/, ragstream/preprocessing/, ragstream/memory/, and JSON areas data/agents/** and ragstream/config/**; no single Python file owns the full central scope without hiding independent infrastructure or concrete-agent responsibilities."
GHOST-AGENT-STACK-CONFIG-CACHE-BOUNDARY,SYSTEM_WIDE,,,,"This UID spans shared Agent Stack behavior across ragstream/orchestration/agent_factory.py, ragstream/orchestration/agent_prompt.py, ragstream/orchestration/agent_prompt_helpers/*.py, ragstream/orchestration/llm_client.py, current consumers under ragstream/agents/, ragstream/preprocessing/, ragstream/memory/, and JSON areas data/agents/** and ragstream/config/**; no single Python file owns the full central scope without hiding independent infrastructure or concrete-agent responsibilities."
GHOST-AGENT-STACK-SUPERPROMPT-BOUNDARY,SYSTEM_WIDE,,,,"This UID spans shared Agent Stack behavior across ragstream/orchestration/agent_factory.py, ragstream/orchestration/agent_prompt.py, ragstream/orchestration/agent_prompt_helpers/*.py, ragstream/orchestration/llm_client.py, current consumers under ragstream/agents/, ragstream/preprocessing/, ragstream/memory/, and JSON areas data/agents/** and ragstream/config/**; no single Python file owns the full central scope without hiding independent infrastructure or concrete-agent responsibilities."
GHOST-AGENT-STACK-ORCHESTRATION-BOUNDARY,SYSTEM_WIDE,,,,"This UID spans shared Agent Stack behavior across ragstream/orchestration/agent_factory.py, ragstream/orchestration/agent_prompt.py, ragstream/orchestration/agent_prompt_helpers/*.py, ragstream/orchestration/llm_client.py, current consumers under ragstream/agents/, ragstream/preprocessing/, ragstream/memory/, and JSON areas data/agents/** and ragstream/config/**; no single Python file owns the full central scope without hiding independent infrastructure or concrete-agent responsibilities."
GHOST-AGENT-STACK-DETERMINISTIC-POSTPROCESSING-BOUNDARY,SYSTEM_WIDE,,,,"This UID spans shared Agent Stack behavior across ragstream/orchestration/agent_factory.py, ragstream/orchestration/agent_prompt.py, ragstream/orchestration/agent_prompt_helpers/*.py, ragstream/orchestration/llm_client.py, current consumers under ragstream/agents/, ragstream/preprocessing/, ragstream/memory/, and JSON areas data/agents/** and ragstream/config/**; no single Python file owns the full central scope without hiding independent infrastructure or concrete-agent responsibilities."
GHOST-AGENT-CONFIG-JSON,SYSTEM_WIDE,,,,"This UID spans shared Agent Stack behavior across ragstream/orchestration/agent_factory.py, ragstream/orchestration/agent_prompt.py, ragstream/orchestration/agent_prompt_helpers/*.py, ragstream/orchestration/llm_client.py, current consumers under ragstream/agents/, ragstream/preprocessing/, ragstream/memory/, and JSON areas data/agents/** and ragstream/config/**; no single Python file owns the full central scope without hiding independent infrastructure or concrete-agent responsibilities."
GHOST-AGENT-CONFIG-IDENTITY,SYSTEM_WIDE,,,,"This UID spans shared Agent Stack behavior across ragstream/orchestration/agent_factory.py, ragstream/orchestration/agent_prompt.py, ragstream/orchestration/agent_prompt_helpers/*.py, ragstream/orchestration/llm_client.py, current consumers under ragstream/agents/, ragstream/preprocessing/, ragstream/memory/, and JSON areas data/agents/** and ragstream/config/**; no single Python file owns the full central scope without hiding independent infrastructure or concrete-agent responsibilities."
GHOST-AGENT-CONFIG-LLM-SETTINGS,SYSTEM_WIDE,,,,"This UID spans shared Agent Stack behavior across ragstream/orchestration/agent_factory.py, ragstream/orchestration/agent_prompt.py, ragstream/orchestration/agent_prompt_helpers/*.py, ragstream/orchestration/llm_client.py, current consumers under ragstream/agents/, ragstream/preprocessing/, ragstream/memory/, and JSON areas data/agents/** and ragstream/config/**; no single Python file owns the full central scope without hiding independent infrastructure or concrete-agent responsibilities."
GHOST-AGENT-CONFIG-STATIC-PROMPT,SYSTEM_WIDE,,,,"This UID spans shared Agent Stack behavior across ragstream/orchestration/agent_factory.py, ragstream/orchestration/agent_prompt.py, ragstream/orchestration/agent_prompt_helpers/*.py, ragstream/orchestration/llm_client.py, current consumers under ragstream/agents/, ragstream/preprocessing/, ragstream/memory/, and JSON areas data/agents/** and ragstream/config/**; no single Python file owns the full central scope without hiding independent infrastructure or concrete-agent responsibilities."
GHOST-AGENT-CONFIG-DYNAMIC-BINDINGS,SYSTEM_WIDE,,,,"This UID spans shared Agent Stack behavior across ragstream/orchestration/agent_factory.py, ragstream/orchestration/agent_prompt.py, ragstream/orchestration/agent_prompt_helpers/*.py, ragstream/orchestration/llm_client.py, current consumers under ragstream/agents/, ragstream/preprocessing/, ragstream/memory/, and JSON areas data/agents/** and ragstream/config/**; no single Python file owns the full central scope without hiding independent infrastructure or concrete-agent responsibilities."
GHOST-AGENT-CONFIG-DECISION-TARGETS,SYSTEM_WIDE,,,,"This UID spans shared Agent Stack behavior across ragstream/orchestration/agent_factory.py, ragstream/orchestration/agent_prompt.py, ragstream/orchestration/agent_prompt_helpers/*.py, ragstream/orchestration/llm_client.py, current consumers under ragstream/agents/, ragstream/preprocessing/, ragstream/memory/, and JSON areas data/agents/** and ragstream/config/**; no single Python file owns the full central scope without hiding independent infrastructure or concrete-agent responsibilities."
GHOST-AGENT-CONFIG-OPTION-METADATA,SYSTEM_WIDE,,,,"This UID spans shared Agent Stack behavior across ragstream/orchestration/agent_factory.py, ragstream/orchestration/agent_prompt.py, ragstream/orchestration/agent_prompt_helpers/*.py, ragstream/orchestration/llm_client.py, current consumers under ragstream/agents/, ragstream/preprocessing/, ragstream/memory/, and JSON areas data/agents/** and ragstream/config/**; no single Python file owns the full central scope without hiding independent infrastructure or concrete-agent responsibilities."
GHOST-AGENT-CONFIG-OUTPUT-SCHEMA,SYSTEM_WIDE,,,,"This UID spans shared Agent Stack behavior across ragstream/orchestration/agent_factory.py, ragstream/orchestration/agent_prompt.py, ragstream/orchestration/agent_prompt_helpers/*.py, ragstream/orchestration/llm_client.py, current consumers under ragstream/agents/, ragstream/preprocessing/, ragstream/memory/, and JSON areas data/agents/** and ragstream/config/**; no single Python file owns the full central scope without hiding independent infrastructure or concrete-agent responsibilities."
