uid,artifact_traceability_status,artifact_name,artifact_path,artifact_type,relationship_explanation
GHOST-MEM-MERGE-ROOT,SYSTEM_WIDE,,,,"The UID spans implemented ActiveRetrievalBrief, deterministic reduction, relevance gating, pending-topic state, runtime compression, synthesis, and a Blackboard boundary; these responsibilities are distributed across multiple memory files and runtime_config, so no single Python file owns the full normative scope."
GHOST-MEM-MERGE-PARENT-CAPABILITY,SYSTEM_WIDE,,,,"The UID governs a cross-cutting memory-management boundary spanning recording, files, ingestion, retrieval, compression, synthesis, SuperPrompt handoff, configuration JSON, and/or sibling requirement ownership, so no single Python file owns the full normative scope."
GHOST-MEM-MERGE-ACTIVEBRIEF-SCOPE,TRACED,memory_active_retrieval_brief.py,ragstream/memory/compression/memory_active_retrieval_brief.py,PYTHON,"ragstream/memory/compression/memory_active_retrieval_brief.py owns ActiveRetrievalBrief creation/update/skip/topic-shift routing, contributor merging, reducer/gate wiring, agent invocation, and returned pending-buffer state for this UID."
GHOST-MEM-MERGE-COMPRESSION-SCOPE,TRACED,memory_compressor.py,ragstream/memory/compression/memory_compressor.py,PYTHON,"ragstream/memory/compression/memory_compressor.py owns retrieval-time episodic compression, query-anchor construction, disabled passthrough, query normalization, compressed runtime fields, and no-store-write behavior for this UID."
GHOST-MEM-MERGE-SYNTHESIS-SCOPE,TRACED,memory_merge_synthesizer.py,ragstream/memory/memory_merge_synthesizer.py,PYTHON,"ragstream/memory/memory_merge_synthesizer.py owns evidence formatting, runtime_config loading, memory synthesizer agent call, output parsing, diagnostics, no-evidence skip, and failure fallback for this UID."
GHOST-MEM-MERGE-NO-DURABLE-OWNERSHIP,SYSTEM_WIDE,,,,"The UID governs a cross-cutting memory-management boundary spanning recording, files, ingestion, retrieval, compression, synthesis, SuperPrompt handoff, configuration JSON, and/or sibling requirement ownership, so no single Python file owns the full normative scope."
GHOST-MEM-MERGE-NO-DOCUMENT-EVIDENCE,SYSTEM_WIDE,,,,"The UID governs a cross-cutting memory-management boundary spanning recording, files, ingestion, retrieval, compression, synthesis, SuperPrompt handoff, configuration JSON, and/or sibling requirement ownership, so no single Python file owns the full normative scope."
GHOST-MEM-MERGE-NO-FINAL-ANSWER,TRACED,memory_chunker.py,ragstream/memory/ingestion/memory_chunker.py,PYTHON,"ragstream/memory/ingestion/memory_chunker.py owns construction of memory vector entries, IDs, roles, block positions, offsets, token estimates, metadata payloads, and ingestion hashes for this UID."
GHOST-MEM-MERGE-LOCATION-MAP,SYSTEM_WIDE,,,,"The UID governs a cross-cutting memory-management boundary spanning recording, files, ingestion, retrieval, compression, synthesis, SuperPrompt handoff, configuration JSON, and/or sibling requirement ownership, so no single Python file owns the full normative scope."
GHOST-MEM-MERGE-RECORDING-TIME,SYSTEM_WIDE,,,,"The UID governs a cross-cutting memory-management boundary spanning recording, files, ingestion, retrieval, compression, synthesis, SuperPrompt handoff, configuration JSON, and/or sibling requirement ownership, so no single Python file owns the full normative scope."
GHOST-MEM-MERGE-RETRIEVAL-TIME,TRACED,retriever_mem.py,ragstream/retrieval/retriever_mem.py,PYTHON,"ragstream/retrieval/retriever_mem.py owns the memory retrieval orchestration and SuperPrompt write-back path for this UID, delegating vector search, lookup, scoring, compression, and synthesis to subordinate components."
GHOST-MEM-MERGE-SHARED-REDUCER,TRACED,memory_active_retrieval_brief.py,ragstream/memory/compression/memory_active_retrieval_brief.py,PYTHON,"ragstream/memory/compression/memory_active_retrieval_brief.py owns ActiveRetrievalBrief creation/update/skip/topic-shift routing, contributor merging, reducer/gate wiring, agent invocation, and returned pending-buffer state for this UID."
GHOST-MEM-MERGE-AGENT-STACK-USE,SYSTEM_WIDE,,,,"The UID governs a cross-cutting memory-management boundary spanning recording, files, ingestion, retrieval, compression, synthesis, SuperPrompt handoff, configuration JSON, and/or sibling requirement ownership, so no single Python file owns the full normative scope."
GHOST-MEM-MERGE-STATE-OWNERS,SYSTEM_WIDE,,,,"The UID governs a cross-cutting memory-management boundary spanning recording, files, ingestion, retrieval, compression, synthesis, SuperPrompt handoff, configuration JSON, and/or sibling requirement ownership, so no single Python file owns the full normative scope."
GHOST-MEM-MERGE-NO-UI-ALGORITHM,SYSTEM_WIDE,,,,"The UID governs a cross-cutting memory-management boundary spanning recording, files, ingestion, retrieval, compression, synthesis, SuperPrompt handoff, configuration JSON, and/or sibling requirement ownership, so no single Python file owns the full normative scope."
GHOST-MEM-ACTIVEBRIEF-DEFINITION,TRACED,memory_active_retrieval_brief.py,ragstream/memory/compression/memory_active_retrieval_brief.py,PYTHON,"ragstream/memory/compression/memory_active_retrieval_brief.py owns ActiveRetrievalBrief creation/update/skip/topic-shift routing, contributor merging, reducer/gate wiring, agent invocation, and returned pending-buffer state for this UID."
GHOST-MEM-ACTIVEBRIEF-TITLE,TRACED,memory_active_retrieval_brief.py,ragstream/memory/compression/memory_active_retrieval_brief.py,PYTHON,"ragstream/memory/compression/memory_active_retrieval_brief.py owns ActiveRetrievalBrief creation/update/skip/topic-shift routing, contributor merging, reducer/gate wiring, agent invocation, and returned pending-buffer state for this UID."
GHOST-MEM-ACTIVEBRIEF-RECORDING-POSITION,TRACED,memory_active_retrieval_brief.py,ragstream/memory/compression/memory_active_retrieval_brief.py,PYTHON,"ragstream/memory/compression/memory_active_retrieval_brief.py owns ActiveRetrievalBrief creation/update/skip/topic-shift routing, contributor merging, reducer/gate wiring, agent invocation, and returned pending-buffer state for this UID."
GHOST-MEM-ACTIVEBRIEF-MANAGER-AUTHORITY,TRACED,memory_active_retrieval_brief.py,ragstream/memory/compression/memory_active_retrieval_brief.py,PYTHON,"ragstream/memory/compression/memory_active_retrieval_brief.py owns ActiveRetrievalBrief creation/update/skip/topic-shift routing, contributor merging, reducer/gate wiring, agent invocation, and returned pending-buffer state for this UID."
GHOST-MEM-ACTIVEBRIEF-STABLE-BODY,TRACED,memory_active_retrieval_brief.py,ragstream/memory/compression/memory_active_retrieval_brief.py,PYTHON,"ragstream/memory/compression/memory_active_retrieval_brief.py owns ActiveRetrievalBrief creation/update/skip/topic-shift routing, contributor merging, reducer/gate wiring, agent invocation, and returned pending-buffer state for this UID."
GHOST-MEM-ACTIVEBRIEF-QUERY-INDEPENDENCE,TRACED,memory_active_retrieval_brief.py,ragstream/memory/compression/memory_active_retrieval_brief.py,PYTHON,"ragstream/memory/compression/memory_active_retrieval_brief.py owns ActiveRetrievalBrief creation/update/skip/topic-shift routing, contributor merging, reducer/gate wiring, agent invocation, and returned pending-buffer state for this UID."
GHOST-MEM-ACTIVEBRIEF-NO-RECORD-REWRITE,TRACED,memory_active_retrieval_brief.py,ragstream/memory/compression/memory_active_retrieval_brief.py,PYTHON,"ragstream/memory/compression/memory_active_retrieval_brief.py owns ActiveRetrievalBrief creation/update/skip/topic-shift routing, contributor merging, reducer/gate wiring, agent invocation, and returned pending-buffer state for this UID."
GHOST-MEM-ACTIVEBRIEF-CAPTURE-FAILURE,TRACED,memory_active_retrieval_brief.py,ragstream/memory/compression/memory_active_retrieval_brief.py,PYTHON,"ragstream/memory/compression/memory_active_retrieval_brief.py owns ActiveRetrievalBrief creation/update/skip/topic-shift routing, contributor merging, reducer/gate wiring, agent invocation, and returned pending-buffer state for this UID."
GHOST-MEM-ACTIVEBRIEF-IMPORTED-BRIEF,TRACED,memory_active_retrieval_brief.py,ragstream/memory/compression/memory_active_retrieval_brief.py,PYTHON,"ragstream/memory/compression/memory_active_retrieval_brief.py owns ActiveRetrievalBrief creation/update/skip/topic-shift routing, contributor merging, reducer/gate wiring, agent invocation, and returned pending-buffer state for this UID."
GHOST-MEM-ACTIVEBRIEF-IMPORT-NO-AUTO,TRACED,memory_active_retrieval_brief.py,ragstream/memory/compression/memory_active_retrieval_brief.py,PYTHON,"ragstream/memory/compression/memory_active_retrieval_brief.py owns ActiveRetrievalBrief creation/update/skip/topic-shift routing, contributor merging, reducer/gate wiring, agent invocation, and returned pending-buffer state for this UID."
GHOST-MEM-REDUCER-INPUT,TRACED,memory_active_retrieval_brief.py,ragstream/memory/compression/memory_active_retrieval_brief.py,PYTHON,"ragstream/memory/compression/memory_active_retrieval_brief.py owns ActiveRetrievalBrief creation/update/skip/topic-shift routing, contributor merging, reducer/gate wiring, agent invocation, and returned pending-buffer state for this UID."
GHOST-MEM-REDUCER-CONFIG,TRACED,memory_active_retrieval_brief.py,ragstream/memory/compression/memory_active_retrieval_brief.py,PYTHON,"ragstream/memory/compression/memory_active_retrieval_brief.py owns ActiveRetrievalBrief creation/update/skip/topic-shift routing, contributor merging, reducer/gate wiring, agent invocation, and returned pending-buffer state for this UID."
GHOST-MEM-REDUCER-SENTENCE-SPLIT,TRACED,memory_active_retrieval_brief.py,ragstream/memory/compression/memory_active_retrieval_brief.py,PYTHON,"ragstream/memory/compression/memory_active_retrieval_brief.py owns ActiveRetrievalBrief creation/update/skip/topic-shift routing, contributor merging, reducer/gate wiring, agent invocation, and returned pending-buffer state for this UID."
GHOST-MEM-REDUCER-WINDOWS,TRACED,memory_active_retrieval_brief.py,ragstream/memory/compression/memory_active_retrieval_brief.py,PYTHON,"ragstream/memory/compression/memory_active_retrieval_brief.py owns ActiveRetrievalBrief creation/update/skip/topic-shift routing, contributor merging, reducer/gate wiring, agent invocation, and returned pending-buffer state for this UID."
GHOST-MEM-REDUCER-ALWAYS-EMBED,TRACED,memory_active_retrieval_brief.py,ragstream/memory/compression/memory_active_retrieval_brief.py,PYTHON,"ragstream/memory/compression/memory_active_retrieval_brief.py owns ActiveRetrievalBrief creation/update/skip/topic-shift routing, contributor merging, reducer/gate wiring, agent invocation, and returned pending-buffer state for this UID."
GHOST-MEM-REDUCER-CENTROID-MODE,TRACED,memory_active_retrieval_brief.py,ragstream/memory/compression/memory_active_retrieval_brief.py,PYTHON,"ragstream/memory/compression/memory_active_retrieval_brief.py owns ActiveRetrievalBrief creation/update/skip/topic-shift routing, contributor merging, reducer/gate wiring, agent invocation, and returned pending-buffer state for this UID."
GHOST-MEM-REDUCER-EXTERNAL-ANCHOR,TRACED,memory_active_retrieval_brief.py,ragstream/memory/compression/memory_active_retrieval_brief.py,PYTHON,"ragstream/memory/compression/memory_active_retrieval_brief.py owns ActiveRetrievalBrief creation/update/skip/topic-shift routing, contributor merging, reducer/gate wiring, agent invocation, and returned pending-buffer state for this UID."
GHOST-MEM-REDUCER-NO-VECTORS,TRACED,memory_active_retrieval_brief.py,ragstream/memory/compression/memory_active_retrieval_brief.py,PYTHON,"ragstream/memory/compression/memory_active_retrieval_brief.py owns ActiveRetrievalBrief creation/update/skip/topic-shift routing, contributor merging, reducer/gate wiring, agent invocation, and returned pending-buffer state for this UID."
GHOST-MEM-REDUCER-BUDGET,TRACED,memory_active_retrieval_brief.py,ragstream/memory/compression/memory_active_retrieval_brief.py,PYTHON,"ragstream/memory/compression/memory_active_retrieval_brief.py owns ActiveRetrievalBrief creation/update/skip/topic-shift routing, contributor merging, reducer/gate wiring, agent invocation, and returned pending-buffer state for this UID."
GHOST-MEM-REDUCER-BELOW-BUDGET,TRACED,memory_active_retrieval_brief.py,ragstream/memory/compression/memory_active_retrieval_brief.py,PYTHON,"ragstream/memory/compression/memory_active_retrieval_brief.py owns ActiveRetrievalBrief creation/update/skip/topic-shift routing, contributor merging, reducer/gate wiring, agent invocation, and returned pending-buffer state for this UID."
GHOST-MEM-REDUCER-SCORE,TRACED,memory_scoring.py,ragstream/memory/retrieval/memory_scoring.py,PYTHON,"ragstream/memory/retrieval/memory_scoring.py owns vector-hit normalization, parent aggregation, tag exclusion, source-mode weights, recency policy, ranking, and semantic chunk selection for this UID."
GHOST-MEM-REDUCER-REDUNDANCY,TRACED,memory_active_retrieval_brief.py,ragstream/memory/compression/memory_active_retrieval_brief.py,PYTHON,"ragstream/memory/compression/memory_active_retrieval_brief.py owns ActiveRetrievalBrief creation/update/skip/topic-shift routing, contributor merging, reducer/gate wiring, agent invocation, and returned pending-buffer state for this UID."
